[0167/5000] n=1, T=0.1668 -> Recall=89.91%, FAR=73.1286%, TP=508, FP=2286
[0168/5000] n=1, T=0.1678 -> Recall=89.91%, FAR=72.9687%, TP=508, FP=2281
[0169/5000] n=1, T=0.1688 -> Recall=89.91%, FAR=72.7447%, TP=508, FP=2274
[0170/5000] n=1, T=0.1698 -> Recall=89.91%, FAR=72.5528%, TP=508, FP=2268
[0171/5000] n=1, T=0.1708 -> Recall=89.91%, FAR=72.3289%, TP=508, FP=2261
[0172/5000] n=1, T=0.1718 -> Recall=89.91%, FAR=72.0090%, TP=508, FP=2251
[0173/5000] n=1, T=0.1728 -> Recall=89.91%, FAR=71.7850%, TP=508, FP=2244
[0174/5000] n=1, T=0.1738 -> Recall=89.73%, FAR=71.6891%, TP=507, FP=2241
[0175/5000] n=1, T=0.1748 -> Recall=89.73%, FAR=71.4331%, TP=507, FP=2233
[0176/5000] n=1, T=0.1758 -> Recall=89.73%, FAR=71.2732%, TP=507, FP=2228
[0177/5000] n=1, T=0.1768 -> Recall=89.56%, FAR=70.9853%, TP=506, FP=2219
[0178/5000] n=1, T=0.1778 -> Recall=89.56%, FAR=70.7294%, TP=506, FP=2211
[0179/5000] n=1, T=0.1788 -> Recall=89.20%, FAR=70.6014%, TP=504, FP=2207
[0180/5000] n=1, T=0.1798 -> Recall=89.20%, FAR=70.3455%, TP=504, FP=2199
[0181/5000] n=1, T=0.1808 -> Recall=89.20%, FAR=70.0576%, TP=504, FP=2190
[0182/5000] n=1, T=0.1818 -> Recall=89.20%, FAR=69.6097%, TP=504, FP=2176
[0183/5000] n=1, T=0.1828 -> Recall=89.03%, FAR=69.4178%, TP=503, FP=2170
[0184/5000] n=1, T=0.1838 -> Recall=89.03%, FAR=69.2258%, TP=503, FP=2164
[0185/5000] n=1, T=0.1848 -> Recall=88.67%, FAR=69.0019%, TP=501, FP=2157
[0186/5000] n=1, T=0.1858 -> Recall=86.90%, FAR=67.6583%, TP=491, FP=2115
[0187/5000] n=1, T=0.1868 -> Recall=86.90%, FAR=67.3065%, TP=491, FP=2104
[0188/5000] n=1, T=0.1878 -> Recall=86.90%, FAR=66.9226%, TP=491, FP=2092
[0189/5000] n=1, T=0.1888 -> Recall=86.73%, FAR=66.6027%, TP=490, FP=2082
[0190/5000] n=1, T=0.1898 -> Recall=86.73%, FAR=66.5067%, TP=490, FP=2079
[0191/5000] n=1, T=0.1908 -> Recall=86.55%, FAR=66.0909%, TP=489, FP=2066
[0192/5000] n=1, T=0.1918 -> Recall=86.37%, FAR=65.6750%, TP=488, FP=2053
[0193/5000] n=1, T=0.1928 -> Recall=86.37%, FAR=64.9712%, TP=488, FP=2031
[0194/5000] n=1, T=0.1938 -> Recall=85.13%, FAR=62.8919%, TP=481, FP=1966
[0195/5000] n=1, T=0.1948 -> Recall=85.13%, FAR=62.6360%, TP=481, FP=1958
[0196/5000] n=1, T=0.1958 -> Recall=85.13%, FAR=62.3161%, TP=481, FP=1948
[0197/5000] n=1, T=0.1968 -> Recall=84.96%, FAR=61.9962%, TP=480, FP=1938
[0198/5000] n=1, T=0.1978 -> Recall=84.96%, FAR=61.8682%, TP=480, FP=1934
[0199/5000] n=1, T=0.1988 -> Recall=84.78%, FAR=61.5163%, TP=479, FP=1923
[0200/5000] n=1, T=0.1998 -> Recall=84.78%, FAR=61.3884%, TP=479, FP=1919
[0201/5000] n=1, T=0.2008 -> Recall=84.78%, FAR=61.1324%, TP=479, FP=1911
[0202/5000] n=1, T=0.2018 -> Recall=84.78%, FAR=60.8445%, TP=479, FP=1902
[0203/5000] n=1, T=0.2028 -> Recall=84.25%, FAR=60.2367%, TP=476, FP=1883
[0204/5000] n=1, T=0.2038 -> Recall=84.25%, FAR=59.9808%, TP=476, FP=1875
[0205/5000] n=1, T=0.2048 -> Recall=84.25%, FAR=59.6609%, TP=476, FP=1865
[0206/5000] n=1, T=0.2058 -> Recall=84.25%, FAR=59.2131%, TP=476, FP=1851
[0207/5000] n=1, T=0.2068 -> Recall=84.25%, FAR=58.7972%, TP=476, FP=1838
[0208/5000] n=1, T=0.2078 -> Recall=84.25%, FAR=58.7332%, TP=476, FP=1836
[0209/5000] n=1, T=0.2088 -> Recall=84.07%, FAR=58.4773%, TP=475, FP=1828
[0210/5000] n=1, T=0.2098 -> Recall=83.89%, FAR=58.1574%, TP=474, FP=1818
[0211/5000] n=1, T=0.2108 -> Recall=83.54%, FAR=57.8375%, TP=472, FP=1808
[0212/5000] n=1, T=0.2118 -> Recall=83.36%, FAR=57.4856%, TP=471, FP=1797
[0213/5000] n=1, T=0.2128 -> Recall=83.36%, FAR=57.2937%, TP=471, FP=1791
[0214/5000] n=1, T=0.2138 -> Recall=83.36%, FAR=57.1017%, TP=471, FP=1785
[0215/5000] n=1, T=0.2148 -> Recall=83.36%, FAR=56.7179%, TP=471, FP=1773
[0216/5000] n=1, T=0.2158 -> Recall=82.83%, FAR=56.4299%, TP=468, FP=1764
[0217/5000] n=1, T=0.2168 -> Recall=82.83%, FAR=56.2380%, TP=468, FP=1758
[0218/5000] n=1, T=0.2178 -> Recall=82.83%, FAR=55.9821%, TP=468, FP=1750
[0219/5000] n=1, T=0.2188 -> Recall=82.83%, FAR=55.6302%, TP=468, FP=1739
[0220/5000] n=1, T=0.2198 -> Recall=82.65%, FAR=55.4063%, TP=467, FP=1732
[0221/5000] n=1, T=0.2208 -> Recall=82.65%, FAR=55.1184%, TP=467, FP=1723
[0222/5000] n=1, T=0.2218 -> Recall=82.65%, FAR=54.9584%, TP=467, FP=1718
[0223/5000] n=1, T=0.2228 -> Recall=82.30%, FAR=54.7025%, TP=465, FP=1710
[0224/5000] n=1, T=0.2238 -> Recall=82.30%, FAR=54.3186%, TP=465, FP=1698
[0225/5000] n=1, T=0.2248 -> Recall=82.30%, FAR=54.1587%, TP=465, FP=1693
[0226/5000] n=1, T=0.2258 -> Recall=82.30%, FAR=53.9667%, TP=465, FP=1687
[0227/5000] n=1, T=0.2268 -> Recall=82.12%, FAR=53.8068%, TP=464, FP=1682
[0228/5000] n=1, T=0.2278 -> Recall=82.12%, FAR=53.4869%, TP=464, FP=1672
[0229/5000] n=1, T=0.2288 -> Recall=82.12%, FAR=53.0390%, TP=464, FP=1658
[0230/5000] n=1, T=0.2298 -> Recall=82.12%, FAR=52.6871%, TP=464, FP=1647
[0231/5000] n=1, T=0.2308 -> Recall=82.12%, FAR=52.2393%, TP=464, FP=1633
[0232/5000] n=1, T=0.2318 -> Recall=81.95%, FAR=51.9194%, TP=463, FP=1623
[0233/5000] n=1, T=0.2328 -> Recall=81.77%, FAR=51.6955%, TP=462, FP=1616
[0234/5000] n=1, T=0.2338 -> Recall=81.59%, FAR=51.4395%, TP=461, FP=1608
[0235/5000] n=1, T=0.2348 -> Recall=81.42%, FAR=51.2796%, TP=460, FP=1603
[0236/5000] n=1, T=0.2358 -> Recall=81.42%, FAR=51.0237%, TP=460, FP=1595
[0237/5000] n=1, T=0.2368 -> Recall=81.06%, FAR=50.7997%, TP=458, FP=1588
[0238/5000] n=1, T=0.2378 -> Recall=80.71%, FAR=50.4479%, TP=456, FP=1577
[0239/5000] n=1, T=0.2388 -> Recall=80.71%, FAR=50.1599%, TP=456, FP=1568
[0240/5000] n=1, T=0.2398 -> Recall=80.71%, FAR=49.7761%, TP=456, FP=1556
[0241/5000] n=1, T=0.2408 -> Recall=80.71%, FAR=49.7441%, TP=456, FP=1555
[0242/5000] n=1, T=0.2418 -> Recall=80.71%, FAR=49.3922%, TP=456, FP=1544
[0243/5000] n=1, T=0.2428 -> Recall=80.35%, FAR=49.2003%, TP=454, FP=1538
[0244/5000] n=1, T=0.2438 -> Recall=80.35%, FAR=48.9763%, TP=454, FP=1531
[0245/5000] n=1, T=0.2448 -> Recall=80.35%, FAR=48.7524%, TP=454, FP=1524
[0246/5000] n=1, T=0.2458 -> Recall=80.35%, FAR=48.5605%, TP=454, FP=1518
[0247/5000] n=1, T=0.2468 -> Recall=80.35%, FAR=48.4965%, TP=454, FP=1516
[0248/5000] n=1, T=0.2478 -> Recall=80.35%, FAR=48.2406%, TP=454, FP=1508
[0249/5000] n=1, T=0.2488 -> Recall=80.18%, FAR=47.8567%, TP=453, FP=1496
[0250/5000] n=1, T=0.2498 -> Recall=80.18%, FAR=47.4408%, TP=453, FP=1483
[0251/5000] n=1, T=0.2507 -> Recall=80.18%, FAR=47.3768%, TP=453, FP=1481
[0252/5000] n=1, T=0.2517 -> Recall=80.18%, FAR=47.0889%, TP=453, FP=1472
